"","start.year","start.month","start.dayofweek","start.hour","Member.type","total.rides","avg.duration"
"314",2015,"December","Wednesday",18,"Member",1023,11.1698924731183
"315",2015,"December","Wednesday",19,"Casual",23,29.154347826087
"316",2015,"December","Wednesday",19,"Member",583,10.0932246998285
"317",2015,"December","Wednesday",20,"Casual",18,19.6216666666667
"318",2015,"December","Wednesday",20,"Member",426,11.9850234741784
"319",2015,"December","Wednesday",21,"Casual",23,33.5382608695652
"320",2015,"December","Wednesday",21,"Member",356,11.5148876404494
"321",2015,"December","Wednesday",22,"Casual",13,38.1115384615385
"322",2015,"December","Wednesday",22,"Member",199,10.1049246231156
"323",2015,"December","Wednesday",23,"Casual",7,31.1457142857143
"324",2015,"December","Wednesday",23,"Member",117,19.8657264957265
"325",2015,"November","Friday",0,"Casual",20,16.6795
"326",2015,"November","Friday",0,"Member",58,15.8924137931034
"327",2015,"November","Friday",1,"Casual",2,9.575
"328",2015,"November","Friday",1,"Member",36,9.30777777777778
"329",2015,"November","Friday",2,"Casual",5,26.644
"330",2015,"November","Friday",2,"Member",21,13.0333333333333
"331",2015,"November","Friday",3,"Casual",1,13.78
"332",2015,"November","Friday",3,"Member",7,15.21
"333",2015,"November","Friday",4,"Member",12,9.41083333333333
"334",2015,"November","Friday",5,"Casual",1,9.27
"335",2015,"November","Friday",5,"Member",91,10.928021978022
"336",2015,"November","Friday",6,"Casual",7,32.58
"337",2015,"November","Friday",6,"Member",270,10.4965555555556
"338",2015,"November","Friday",7,"Casual",21,46.6619047619048
"339",2015,"November","Friday",7,"Member",774,11.7621705426357
"340",2015,"November","Friday",8,"Casual",54,35.3816666666667
"341",2015,"November","Friday",8,"Member",1191,11.625852225021
"342",2015,"November","Friday",9,"Casual",77,49.2427272727273
"343",2015,"November","Friday",9,"Member",578,10.7738235294118
"344",2015,"November","Friday",10,"Casual",165,45.1999393939394
"345",2015,"November","Friday",10,"Member",324,12.1633950617284
"346",2015,"November","Friday",11,"Casual",207,52.6139130434783
"347",2015,"November","Friday",11,"Member",371,11.5318867924528
"348",2015,"November","Friday",12,"Casual",257,45.3578988326848
"349",2015,"November","Friday",12,"Member",505,10.4422178217822
"350",2015,"November","Friday",13,"Casual",273,56.3496703296703
"351",2015,"November","Friday",13,"Member",481,10.5853846153846
"352",2015,"November","Friday",14,"Casual",302,42.3488741721854
"353",2015,"November","Friday",14,"Member",452,11.7701548672566
"354",2015,"November","Friday",15,"Casual",307,40.476319218241
"355",2015,"November","Friday",15,"Member",576,12.5514756944444
"356",2015,"November","Friday",16,"Casual",255,36.0039215686275
"357",2015,"November","Friday",16,"Member",919,12.1468226332971
"358",2015,"November","Friday",17,"Casual",160,37.939125
"359",2015,"November","Friday",17,"Member",1128,13.2947783687943
"360",2015,"November","Friday",18,"Casual",88,33.0352272727273
"361",2015,"November","Friday",18,"Member",888,11.2084346846847
"362",2015,"November","Friday",19,"Casual",64,29.35828125
"363",2015,"November","Friday",19,"Member",489,10.8554805725971
"364",2015,"November","Friday",20,"Casual",38,44.6905263157895
"365",2015,"November","Friday",20,"Member",291,12.8376975945017
"366",2015,"November","Friday",21,"Casual",38,56.8410526315789
"367",2015,"November","Friday",21,"Member",227,11.2319823788546
"368",2015,"November","Friday",22,"Casual",21,31.107619047619
"369",2015,"November","Friday",22,"Member",203,9.92901477832512
"370",2015,"November","Friday",23,"Casual",30,22.286
"371",2015,"November","Friday",23,"Member",162,10.3963580246914
"372",2015,"November","Monday",0,"Casual",5,37.23
"373",2015,"November","Monday",0,"Member",44,8.91363636363636
"374",2015,"November","Monday",1,"Member",14,9.39214285714286
"375",2015,"November","Monday",2,"Casual",6,17.7366666666667
"376",2015,"November","Monday",2,"Member",13,11.2446153846154
"377",2015,"November","Monday",3,"Casual",2,28.98
"378",2015,"November","Monday",3,"Member",2,9.695
"379",2015,"November","Monday",4,"Member",8,15.9275
"380",2015,"November","Monday",5,"Casual",5,30.072
"381",2015,"November","Monday",5,"Member",112,9.73482142857143
"382",2015,"November","Monday",6,"Casual",2,18.675
"383",2015,"November","Monday",6,"Member",406,9.97960591133005
"384",2015,"November","Monday",7,"Casual",22,19.6981818181818
"385",2015,"November","Monday",7,"Member",1168,10.9845119863014
"386",2015,"November","Monday",8,"Casual",34,37.7158823529412
"387",2015,"November","Monday",8,"Member",1579,12.0882203926536
"388",2015,"November","Monday",9,"Casual",78,42.8341025641026
"389",2015,"November","Monday",9,"Member",674,11.1012908011869
"390",2015,"November","Monday",10,"Casual",83,57.4251807228916
"391",2015,"November","Monday",10,"Member",276,12.0058695652174
"392",2015,"November","Monday",11,"Casual",73,39.3297260273973
"393",2015,"November","Monday",11,"Member",306,10.8371568627451
"394",2015,"November","Monday",12,"Casual",86,31.2808139534884
"395",2015,"November","Monday",12,"Member",402,14.0846268656716
"396",2015,"November","Monday",13,"Casual",84,38.68
"397",2015,"November","Monday",13,"Member",383,10.1729765013055
"398",2015,"November","Monday",14,"Casual",97,40.7311340206186
"399",2015,"November","Monday",14,"Member",322,10.4241304347826
"400",2015,"November","Monday",15,"Casual",91,60.5807692307692
"401",2015,"November","Monday",15,"Member",438,11.6598401826484
"402",2015,"November","Monday",16,"Casual",86,27.5296511627907
"403",2015,"November","Monday",16,"Member",818,11.1881907090465
"404",2015,"November","Monday",17,"Casual",73,24.3857534246575
"405",2015,"November","Monday",17,"Member",1416,12.1195480225989
"406",2015,"November","Monday",18,"Casual",44,22.4465909090909
"407",2015,"November","Monday",18,"Member",1170,11.6144957264957
"408",2015,"November","Monday",19,"Casual",35,44.7182857142857
"409",2015,"November","Monday",19,"Member",717,9.77276150627615
"410",2015,"November","Monday",20,"Casual",26,20.3357692307692
"411",2015,"November","Monday",20,"Member",454,10.7395154185022
